ID;Month;Sliding;Order;OrderS;Elapsed.Time;Time;Year;Ontogeny;Season;Site;TL;Weight;Fulton;Mg24;Mn55;Cu65;Zn66;Sr87;Ba138;Sample;Temp;Sal;Mg24w;Ca43w;Mn55w;Cu65w;Zn66w;Sr88w;Ba138w;MgCa;MnCa;CuCa;ZnCa;SrCa;BaCa
ID076;AUG;JUL;2;1;79.22900414;79.2;2022;Juvenile;Late dry;Sao Mateus;147;59.15;1.862098905;181.8394816;1.677748457;0.08678695;5.353116258;3310.252678;5.388859617;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID077;AUG;JUL;2;1;56.59204102;56.6;2022;Juvenile;Late dry;Sao Mateus;150;58.66;1.738074074;226.3112327;1.971232113;0.070185209;0.04890772;2815.582431;4.290217768;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID077;AUG;JUL;2;1;58.85595703;58.9;2022;Juvenile;Late dry;Sao Mateus;150;58.66;1.738074074;231.2737027;0.612259703;0.331677464;0.416514953;2965.775304;5.009730355;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID077;AUG;JUL;2;1;61.12011695;61.1;2022;Juvenile;Late dry;Sao Mateus;150;58.66;1.738074074;255.599838;0.034608811;0.374830298;1.30656761;3386.413019;4.130496248;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID078;AUG;JUL;2;1;67.91101098;67.9;2022;Juvenile;Late dry;Sao Mateus;134;42.22;1.75470387;283.1978045;0.964326709;0.14109516;0.227104068;3289.949087;6.826354428;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID078;AUG;JUL;2;1;70.174927;70.2;2022;Juvenile;Late dry;Sao Mateus;134;42.22;1.75470387;278.6517621;0.170368286;0.496642619;0.201157273;3220.712559;5.073119987;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID078;AUG;JUL;2;1;72.43896508;72.4;2022;Juvenile;Late dry;Sao Mateus;134;42.22;1.75470387;238.4703979;1.753989729;0.107349638;0.013201135;3076.597722;4.531320788;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID079;AUG;JUL;2;1;67.91101098;67.9;2022;Juvenile;Late dry;Sao Mateus;137;47.25;1.837554004;261.9993644;2.218059192;0.058337731;1.258648241;3854.935381;10.01216193;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID079;AUG;JUL;2;1;70.17504907;70.2;2022;Juvenile;Late dry;Sao Mateus;137;47.25;1.837554004;264.9152669;2.020928272;0.176923272;0.302261587;3836.389019;8.429831707;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID079;AUG;JUL;2;1;72.43798804;72.4;2022;Juvenile;Late dry;Sao Mateus;137;47.25;1.837554004;309.9201078;2.786254569;0.344874799;10.57464855;2988.674378;5.574975379;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID080;AUG;JUL;2;1;67.91088796;67.9;2022;Juvenile;Late dry;Sao Mateus;140;44.55;1.623542274;225.3348715;0.779960858;0.360537279;0.320407373;3068.671362;6.244989845;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID080;AUG;JUL;2;1;70.17492604;70.2;2022;Juvenile;Late dry;Sao Mateus;140;44.55;1.623542274;297.9330504;0.451899427;0.123713986;1.769452464;2829.173242;5.416412654;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID080;AUG;JUL;2;1;72.43798804;72.4;2022;Juvenile;Late dry;Sao Mateus;140;44.55;1.623542274;249.5022297;0.27976418;0.360537279;3.819412669;3053.12028;4.690894146;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID081;AUG;JUL;2;1;63.3840332;63.4;2022;Juvenile;Late dry;Sao Mateus;143;45.89;1.569314347;271.5725756;0.961024358;0.083718161;0.281402976;3606.484124;14.57259872;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID081;AUG;JUL;2;1;65.64794922;65.6;2022;Juvenile;Late dry;Sao Mateus;143;45.89;1.569314347;280.5134885;0.355114434;0.21991131;0.114755739;3244.578117;8.284759809;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID081;AUG;JUL;2;1;67.91088915;67.9;2022;Juvenile;Late dry;Sao Mateus;143;45.89;1.569314347;251.3525035;0.533255318;0.062872798;0.396108629;2705.199379;5.88558579;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID082;AUG;JUL;2;1;70.174927;70.2;2022;Juvenile;Late dry;Sao Mateus;152;65.07;1.85289173;200.5219024;0.38964092;0.176500862;0.634470404;3302.53573;8.828238793;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID082;AUG;JUL;2;1;72.437989;72.4;2022;Juvenile;Late dry;Sao Mateus;152;65.07;1.85289173;196.501693;0.062057014;0.453034174;0.148988651;3424.115388;7.672192914;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID082;AUG;JUL;2;1;74.70202708;74.7;2022;Juvenile;Late dry;Sao Mateus;152;65.07;1.85289173;200.4946469;0.729047967;0.39179251;5.195080777;2701.373625;4.798166152;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID083;AUG;JUL;2;1;72.4379878;72.4;2022;Juvenile;Late dry;Sao Mateus;132;41.52;1.805242508;201.0334457;1.356472287;3.385829195;0.052788105;2582.752421;3.627314314;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID083;AUG;JUL;2;1;74.70202589;74.7;2022;Juvenile;Late dry;Sao Mateus;132;41.52;1.805242508;209.045041;0.849098821;0.105730369;0.261408451;2506.477345;2.659624814;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID083;AUG;JUL;2;1;76.96600389;77;2022;Juvenile;Late dry;Sao Mateus;132;41.52;1.805242508;211.4553438;1.121061931;0.099238232;0.214474286;2540.526293;2.535995897;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID121;AUG;JUL;2;1;58.85595679;58.9;2022;Juvenile;Late dry;Sao Mateus;122;26.3;1.448359114;267.37839;1.134167971;0.255911762;0.447613707;2988.200381;23.13783493;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
ID121;AUG;JUL;2;1;61.11987281;61.1;2022;Juvenile;Late dry;Sao Mateus;122;26.3;1.448359114;258.9818796;1.132578858;0.125442706;0.3241005;2825.274388;26.07695435;A001;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
