ID;Elapsed.Time;Time;Month;Year;Ontogeny;Season;Site;TL;Weight;Fulton;Mg24;Mn55;Cu65;Zn66;Ba138
ID048;83.75683594;83.8;SEP;2022;Juvenile;Late dry;Sao Mateus;154;63.25;1.73180252;261.0046121;0.656203623;0.395552388;0.113617847;4.097660868
ID050;58.85595703;58.9;SEP;2022;Juvenile;Late dry;Sao Mateus;126;32.33;1.616196155;259.8683285;0.23669745;0.023828363;0.726832551;5.944485243
ID050;61.11987305;61.1;SEP;2022;Juvenile;Late dry;Sao Mateus;126;32.33;1.616196155;259.8423745;0.38845024;0.234055325;0.395564384;5.430178023
ID050;63.38281298;63.4;SEP;2022;Juvenile;Late dry;Sao Mateus;126;32.33;1.616196155;272.0035843;2.312468137;0.291870123;0.551856958;4.843108504
ID051;33.95605493;34;SEP;2022;Juvenile;Late dry;Sao Mateus;92;13.05;1.675895866;239.8266495;0.218367803;0.045751732;0.184519963;5.120299296
ID051;36.21997094;36.2;SEP;2022;Juvenile;Late dry;Sao Mateus;92;13.05;1.675895866;256.1947385;0.084440991;0.119698559;0.081088335;4.031290322
ID051;38.48303294;38.5;SEP;2022;Juvenile;Late dry;Sao Mateus;92;13.05;1.675895866;232.0306763;1.235232737;0.367177104;0.183341241;3.655225289
ID052;49.80102491;49.8;SEP;2022;Juvenile;Late dry;Sao Mateus;91;12.43;1.649479611;291.1768492;0.163316998;0.149741665;0.180125337;2.600831222
ID052;52.06494093;52.1;SEP;2022;Juvenile;Late dry;Sao Mateus;91;12.43;1.649479611;440.8914678;3.249411917;0.22623125;0.25691049;2.709824028
ID052;54.32910085;54.3;SEP;2022;Juvenile;Late dry;Sao Mateus;91;12.43;1.649479611;765.463532;0.883810857;0.66160997;4.226262535;2.347732933
ID053;31.69195604;31.7;SEP;2022;Juvenile;Late dry;Sao Mateus;72;5.81;1.556605796;270.8798152;1.816492469;0.162240137;0.188733076;1.513627607
ID053;33.95599413;34;SEP;2022;Juvenile;Late dry;Sao Mateus;72;5.81;1.556605796;268.0055607;1.46172309;0.029855913;0.116161098;1.415788832
ID053;36.21899509;36.2;SEP;2022;Juvenile;Late dry;Sao Mateus;72;5.81;1.556605796;269.2902798;0.310280875;0.155669831;0.037380982;1.250629425
