"ID";"Time";"Month";"Year";"Date";"TL";"Weight";"Fulton";"Ba138";"Ba_water";"Temp_water";"Sal_water"
"ID277";"74.7";"FEB";2023;2023-02-15;175;95.32;1.778565598;7.780353238;10934.8646665;27.761;12.2857142857143
"ID278";"72.4";"FEB";2023;2023-02-15;174;81.01;1.537768241;18.42438872;10934.8646665;27.761;12.2857142857143
"ID278";"74.7";"FEB";2023;2023-02-15;174;81.01;1.537768241;37.17091187;10934.8646665;27.761;12.2857142857143
"ID278";"77";"FEB";2023;2023-02-15;174;81.01;1.537768241;53.69465697;10934.8646665;27.761;12.2857142857143
"ID279";"79.2";"FEB";2023;2023-02-15;165;71.9;1.600578791;38.22993059;10934.8646665;27.761;12.2857142857143
"ID279";"81.5";"FEB";2023;2023-02-15;165;71.9;1.600578791;29.23545903;10934.8646665;27.761;12.2857142857143
"ID279";"83.8";"FEB";2023;2023-02-15;165;71.9;1.600578791;28.65979132;10934.8646665;27.761;12.2857142857143
"ID280";"77";"FEB";2023;2023-02-15;165;66.95;1.490385953;11.81057475;10934.8646665;27.761;12.2857142857143
"ID280";"79.2";"FEB";2023;2023-02-15;165;66.95;1.490385953;14.18090293;10934.8646665;27.761;12.2857142857143
"ID280";"81.5";"FEB";2023;2023-02-15;165;66.95;1.490385953;3.235490405;10934.8646665;27.761;12.2857142857143
"ID281";"74.7";"FEB";2023;2023-02-15;160;71.34;1.741699219;22.08968042;10934.8646665;27.761;12.2857142857143
"ID281";"77";"FEB";2023;2023-02-15;160;71.34;1.741699219;19.36439833;10934.8646665;27.761;12.2857142857143
"ID281";"79.2";"FEB";2023;2023-02-15;160;71.34;1.741699219;18.65408587;10934.8646665;27.761;12.2857142857143
"ID282";"67.9";"FEB";2023;2023-02-15;161;59.34;1.421902815;22.58043538;10934.8646665;27.761;12.2857142857143
"ID282";"70.2";"FEB";2023;2023-02-15;161;59.34;1.421902815;34.71635274;10934.8646665;27.761;12.2857142857143
"ID282";"72.4";"FEB";2023;2023-02-15;161;59.34;1.421902815;25.81831935;10934.8646665;27.761;12.2857142857143
"ID283";"56.6";"FEB";2023;2023-02-15;155;62.84;1.68748951;42.43908759;10934.8646665;27.761;12.2857142857143
"ID283";"58.9";"FEB";2023;2023-02-15;155;62.84;1.68748951;60.64698752;10934.8646665;27.761;12.2857142857143
"ID283";"61.1";"FEB";2023;2023-02-15;155;62.84;1.68748951;85.58665684;10934.8646665;27.761;12.2857142857143
"ID284";"63.4";"FEB";2023;2023-02-15;157;71.77;1.85457324;31.95230333;10934.8646665;27.761;12.2857142857143
"ID284";"65.6";"FEB";2023;2023-02-15;157;71.77;1.85457324;43.33327684;10934.8646665;27.761;12.2857142857143
"ID284";"67.9";"FEB";2023;2023-02-15;157;71.77;1.85457324;65.10292199;10934.8646665;27.761;12.2857142857143
"ID285";"63.4";"FEB";2023;2023-02-15;150;55.37;1.640592593;12.83990445;10934.8646665;27.761;12.2857142857143
"ID285";"65.6";"FEB";2023;2023-02-15;150;55.37;1.640592593;23.91180189;10934.8646665;27.761;12.2857142857143
"ID285";"67.9";"FEB";2023;2023-02-15;150;55.37;1.640592593;40.9908857;10934.8646665;27.761;12.2857142857143
"ID286";"63.4";"FEB";2023;2023-02-15;140;42.22;1.538629738;4.57723239;10934.8646665;27.761;12.2857142857143
"ID286";"65.6";"FEB";2023;2023-02-15;140;42.22;1.538629738;10.33879085;10934.8646665;27.761;12.2857142857143
"ID286";"67.9";"FEB";2023;2023-02-15;140;42.22;1.538629738;1.829100799;10934.8646665;27.761;12.2857142857143
"ID287";"49.8";"FEB";2023;2023-02-15;125;32.73;1.675776;3.786446832;10934.8646665;27.761;12.2857142857143
"ID287";"52.1";"FEB";2023;2023-02-15;125;32.73;1.675776;4.857698879;10934.8646665;27.761;12.2857142857143
"ID287";"54.3";"FEB";2023;2023-02-15;125;32.73;1.675776;2.220057525;10934.8646665;27.761;12.2857142857143
"ID322";"83.8";"MAR";2023;2023-03-15;226;187.93;1.628061462;41.3059083;10972.97348675;24.59;10.2857142857143
"ID322";"86";"MAR";2023;2023-03-15;226;187.93;1.628061462;29.20842896;10972.97348675;24.59;10.2857142857143
